name,regex,example,description
invoice_no_224,"\bINV[-_ ]?\d{6,12}\b",INV200224,发票号码（INV 前缀）
hex_32_225,\b[0-9a-fA-F]{32}\b,6132198f056f5b54fa407dfd1c7be26d,32 字符十六进制散列（MD5-like）
uuid_compact_226,\b[0-9a-fA-F]{32}\b,dc76369604cfbafaf6612b20b9d98b72,无横线 UUID 表示
short_hex_227,\b[0-9a-fA-F]{8}\b,80ffa70c,短 8 字节十六进制标识
ipv4_228,"\b(?:\d{1,3}\.){3}\d{1,3}\b",10.0.228.174,IPv4 地址
datetime_iso_229,\b\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z\b,2023-08-06T12:00:00Z,ISO8601 UTC 时间戳
generic_code_230,"\bCODE230[:\-]?\d{4,8}\b",CODE230-1234,通用序列号样式
email_variation_231,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user231@example.co,一般邮箱格式（短域）
mobile_dash_232,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1232-1234,中国大陆手机号带短横分隔
token_base64_233,"[A-Za-z0-9_-]{20,300}",2a79646528dcca9d43759eb60b33d584e165,看起来像长令牌/密钥的字母数字串
order_no_234,"\bORD[-_ ]?\d{6,12}\b",ORD-100234,订单号（ORD 前缀）
invoice_no_235,"\bINV[-_ ]?\d{6,12}\b",INV200235,发票号码（INV 前缀）
hex_32_236,\b[0-9a-fA-F]{32}\b,f1db0527a8262acbb826c8dc1ebedc0b,32 字符十六进制散列（MD5-like）
uuid_compact_237,\b[0-9a-fA-F]{32}\b,385b3cfb7a16ccf22bbcb54774278059,无横线 UUID 表示
short_hex_238,\b[0-9a-fA-F]{8}\b,9c84abe0,短 8 字节十六进制标识
ipv4_239,"\b(?:\d{1,3}\.){3}\d{1,3}\b",10.0.239.207,IPv4 地址
datetime_iso_240,\b\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z\b,2023-08-17T12:00:00Z,ISO8601 UTC 时间戳
generic_code_241,"\bCODE241[:\-]?\d{4,8}\b",CODE241-1234,通用序列号样式
email_variation_242,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user242@example.co,一般邮箱格式（短域）
mobile_dash_243,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1243-1234,中国大陆手机号带短横分隔
token_base64_244,"[A-Za-z0-9_-]{20,300}",9dac1d295df536cf655956ef58ef34649188,看起来像长令牌/密钥的字母数字串
order_no_245,"\bORD[-_ ]?\d{6,12}\b",ORD-100245,订单号（ORD 前缀）
invoice_no_246,"\bINV[-_ ]?\d{6,12}\b",INV200246,发票号码（INV 前缀）
hex_32_247,\b[0-9a-fA-F]{32}\b,ef1b7187d67efa8d420667453b1f4989,32 字符十六进制散列（MD5-like）
uuid_compact_248,\b[0-9a-fA-F]{32}\b,281e4d4fec8651c6745f0b27bb19b6eb,无横线 UUID 表示
short_hex_249,\b[0-9a-fA-F]{8}\b,4682f9f4,短 8 字节十六进制标识
ipv4_250,"\b(?:\d{1,3}\.){3}\d{1,3}\b",10.0.250.240,IPv4 地址
datetime_iso_251,\b\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z\b,2023-08-28T12:00:00Z,ISO8601 UTC 时间戳
generic_code_252,"\bCODE252[:\-]?\d{4,8}\b",CODE252-1234,通用序列号样式
email_variation_253,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user253@example.co,一般邮箱格式（短域）
mobile_dash_254,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1254-1234,中国大陆手机号带短横分隔
token_base64_255,"[A-Za-z0-9_-]{20,300}",ccd1e3419b44ff6ec87acfe7b954ade9fe13,看起来像长令牌/密钥的字母数字串
order_no_256,"\bORD[-_ ]?\d{6,12}\b",ORD-100256,订单号（ORD 前缀）
invoice_no_257,"\bINV[-_ ]?\d{6,12}\b",INV200257,发票号码（INV 前缀）
hex_32_258,\b[0-9a-fA-F]{32}\b,e6fb93f8ed11f4470a2ebfa87c4be7da,32 字符十六进制散列（MD5-like）
uuid_compact_259,\b[0-9a-fA-F]{32}\b,295ac659ae8b3d2036aa21bbadba83e7,无横线 UUID 表示
short_hex_260,\b[0-9a-fA-F]{8}\b,72042383,短 8 字节十六进制标识
ipv4_261,"\b(?:\d{1,3}\.){3}\d{1,3}\b",10.0.6.18,IPv4 地址
datetime_iso_262,\b\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z\b,2023-08-11T12:00:00Z,ISO8601 UTC 时间戳
generic_code_263,"\bCODE263[:\-]?\d{4,8}\b",CODE263-1234,通用序列号样式
email_variation_264,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user264@example.co,一般邮箱格式（短域）
mobile_dash_265,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1265-1234,中国大陆手机号带短横分隔
token_base64_266,"[A-Za-z0-9_-]{20,300}",f0d14a99068655529de75745b312c0eaf766,看起来像长令牌/密钥的字母数字串
order_no_267,"\bORD[-_ ]?\d{6,12}\b",ORD-100267,订单号（ORD 前缀）
invoice_no_268,"\bINV[-_ ]?\d{6,12}\b",INV200268,发票号码（INV 前缀）
hex_32_269,\b[0-9a-fA-F]{32}\b,a2cb7cb435e8972aef72811e60a05c4c,32 字符十六进制散列（MD5-like）
uuid_compact_270,\b[0-9a-fA-F]{32}\b,da1e6919d8880e3cf65c4882de1b3ed1,无横线 UUID 表示
short_hex_271,\b[0-9a-fA-F]{8}\b,a0bb74fb,短 8 字节十六进制标识
ipv4_272,"\b(?:\d{1,3}\.){3}\d{1,3}\b",10.0.17.51,IPv4 地址
datetime_iso_273,\b\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z\b,2023-08-22T12:00:00Z,ISO8601 UTC 时间戳
generic_code_274,"\bCODE274[:\-]?\d{4,8}\b",CODE274-1234,通用序列号样式
email_variation_275,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user275@example.co,一般邮箱格式（短域）
mobile_dash_276,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1276-1234,中国大陆手机号带短横分隔
token_base64_277,"[A-Za-z0-9_-]{20,300}",a61d4d781f5b70db7cc24b078ae7d69820f0,看起来像长令牌/密钥的字母数字串
order_no_278,"\bORD[-_ ]?\d{6,12}\b",ORD-100278,订单号（ORD 前缀）
invoice_no_279,"\bINV[-_ ]?\d{6,12}\b",INV200279,发票号码（INV 前缀）
hex_32_280,\b[0-9a-fA-F]{32}\b,62b32ed27b1837ee4ce98c1b466a2ba1,32 字符十六进制散列（MD5-like）
uuid_compact_281,\b[0-9a-fA-F]{32}\b,9a501f2e4f65c7d8c511d59d5d10efea,无横线 UUID 表示
short_hex_282,\b[0-9a-fA-F]{8}\b,1baaa450,短 8 字节十六进制标识
ipv4_283,"\b(?:\d{1,3}\.){3}\d{1,3}\b",10.0.28.84,IPv4 地址
datetime_iso_284,\b\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z\b,2023-08-05T12:00:00Z,ISO8601 UTC 时间戳
generic_code_285,"\bCODE285[:\-]?\d{4,8}\b",CODE285-1234,通用序列号样式
email_variation_286,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user286@example.co,一般邮箱格式（短域）
mobile_dash_287,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1287-1234,中国大陆手机号带短横分隔
token_base64_288,"[A-Za-z0-9_-]{20,300}",71ad6ec82554a9e522234046d55c857348ae,看起来像长令牌/密钥的字母数字串
order_no_289,"\bORD[-_ ]?\d{6,12}\b",ORD-100289,订单号（ORD 前缀）
invoice_no_290,"\bINV[-_ ]?\d{6,12}\b",INV200290,发票号码（INV 前缀）
hex_32_291,\b[0-9a-fA-F]{32}\b,c1b76b6c983c0ef01933a8c9a2fd59f3,32 字符十六进制散列（MD5-like）
uuid_compact_292,\b[0-9a-fA-F]{32}\b,78fa96714f79646bf12bb6e28c2d33f1,无横线 UUID 表示
short_hex_293,\b[0-9a-fA-F]{8}\b,46bbfbf4,短 8 字节十六进制标识
ipv4_294,"\b(?:\d{1,3}\.){3}\d{1,3}\b",10.0.39.117,IPv4 地址
datetime_iso_295,\b\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z\b,2023-08-16T12:00:00Z,ISO8601 UTC 时间戳
generic_code_296,"\bCODE296[:\-]?\d{4,8}\b",CODE296-1234,通用序列号样式
email_variation_297,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user297@example.co,一般邮箱格式（短域）
mobile_dash_298,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1298-1234,中国大陆手机号带短横分隔
token_base64_299,"[A-Za-z0-9_-]{20,300}",d06b14925e7bde2c47a044ac028ac742ef0d,看起来像长令牌/密钥的字母数字串
order_no_300,"\bORD[-_ ]?\d{6,12}\b",ORD-100300,订单号（ORD 前缀）
invoice_no_301,"\bINV[-_ ]?\d{6,12}\b",INV200301,发票号码（INV 前缀）
hex_32_302,\b[0-9a-fA-F]{32}\b,fc6f036ce49059758c348000a8faeba9,32 字符十六进制散列（MD5-like）
uuid_compact_303,\b[0-9a-fA-F]{32}\b,0b0a52624fb64f5dc10dc662fe17691b,无横线 UUID 表示
short_hex_304,\b[0-9a-fA-F]{8}\b,0b6baa02,短 8 字节十六进制标识
ipv4_305,"\b(?:\d{1,3}\.){3}\d{1,3}\b",10.0.50.150,IPv4 地址
datetime_iso_306,\b\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z\b,2023-08-27T12:00:00Z,ISO8601 UTC 时间戳
generic_code_307,"\bCODE307[:\-]?\d{4,8}\b",CODE307-1234,通用序列号样式
email_variation_308,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user308@example.co,一般邮箱格式（短域）
mobile_dash_309,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1309-1234,中国大陆手机号带短横分隔
token_base64_310,"[A-Za-z0-9_-]{20,300}",993f7638449ebddaba6fc23760bec77a06eb,看起来像长令牌/密钥的字母数字串
order_no_311,"\bORD[-_ ]?\d{6,12}\b",ORD-100311,订单号（ORD 前缀）
invoice_no_312,"\bINV[-_ ]?\d{6,12}\b",INV200312,发票号码（INV 前缀）
hex_32_313,\b[0-9a-fA-F]{32}\b,56108a7369f669ea4f965a48951043b3,32 字符十六进制散列（MD5-like）
uuid_compact_314,\b[0-9a-fA-F]{32}\b,a8a5853ac6d9daf327f488b5ef21bbb2,无横线 UUID 表示
short_hex_315,\b[0-9a-fA-F]{8}\b,7a24cd69,短 8 字节十六进制标识
ipv4_316,"\b(?:\d{1,3}\.){3}\d{1,3}\b",10.0.61.183,IPv4 地址
datetime_iso_317,\b\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z\b,2023-08-10T12:00:00Z,ISO8601 UTC 时间戳
generic_code_318,"\bCODE318[:\-]?\d{4,8}\b",CODE318-1234,通用序列号样式
email_variation_319,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user319@example.co,一般邮箱格式（短域）
mobile_dash_320,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1320-1234,中国大陆手机号带短横分隔
token_base64_321,"[A-Za-z0-9_-]{20,300}",d825afecff6a0932a3af7d7e79c35081caf1,看起来像长令牌/密钥的字母数字串
order_no_322,"\bORD[-_ ]?\d{6,12}\b",ORD-100322,订单号（ORD 前缀）
invoice_no_323,"\bINV[-_ ]?\d{6,12}\b",INV200323,发票号码（INV 前缀）
hex_32_324,\b[0-9a-fA-F]{32}\b,c420292ce755023661768e9cc773afa4,32 字符十六进制散列（MD5-like）
uuid_compact_325,\b[0-9a-fA-F]{32}\b,29e276eabb93d22dddc6aef6b3062dd1,无横线 UUID 表示
short_hex_326,\b[0-9a-fA-F]{8}\b,7b73ef60,短 8 字节十六进制标识
ipv4_327,"\b(?:\d{1,3}\.){3}\d{1,3}\b",10.0.72.216,IPv4 地址
datetime_iso_328,\b\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z\b,2023-08-21T12:00:00Z,ISO8601 UTC 时间戳
generic_code_329,"\bCODE329[:\-]?\d{4,8}\b",CODE329-1234,通用序列号样式
email_variation_330,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user330@example.co,一般邮箱格式（短域）
mobile_dash_331,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1331-1234,中国大陆手机号带短横分隔
token_base64_332,"[A-Za-z0-9_-]{20,300}",23562cbb49d76b6248822ee78dcf2a8ec042,看起来像长令牌/密钥的字母数字串
order_no_333,"\bORD[-_ ]?\d{6,12}\b",ORD-100333,订单号（ORD 前缀）
invoice_no_334,"\bINV[-_ ]?\d{6,12}\b",INV200334,发票号码（INV 前缀）
hex_32_335,\b[0-9a-fA-F]{32}\b,cb90bab8efbca12705a510ee8e486afb,32 字符十六进制散列（MD5-like）
uuid_compact_336,\b[0-9a-fA-F]{32}\b,dddffc3de67b5c23406201715a29ee26,无横线 UUID 表示
short_hex_337,\b[0-9a-fA-F]{8}\b,1befbcdb,短 8 字节十六进制标识
ipv4_338,"\b(?:\d{1,3}\.){3}\d{1,3}\b",10.0.83.249,IPv4 地址
datetime_iso_339,\b\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z\b,2023-08-04T12:00:00Z,ISO8601 UTC 时间戳
generic_code_340,"\bCODE340[:\-]?\d{4,8}\b",CODE340-1234,通用序列号样式
email_variation_341,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user341@example.co,一般邮箱格式（短域）
mobile_dash_342,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1342-1234,中国大陆手机号带短横分隔
token_base64_343,"[A-Za-z0-9_-]{20,300}",b30d120dc416e42bec657c9da35f58a43ad7,看起来像长令牌/密钥的字母数字串
order_no_344,"\bORD[-_ ]?\d{6,12}\b",ORD-100344,订单号（ORD 前缀）
invoice_no_345,"\bINV[-_ ]?\d{6,12}\b",INV200345,发票号码（INV 前缀）
hex_32_346,\b[0-9a-fA-F]{32}\b,0624bc901152f43fec7312e4e1d95ebd,32 字符十六进制散列（MD5-like）
uuid_compact_347,\b[0-9a-fA-F]{32}\b,b8c0ed1a57260a3ccf429e4386711857,无横线 UUID 表示
short_hex_348,\b[0-9a-fA-F]{8}\b,913967c0,短 8 字节十六进制标识
ipv4_349,"\b(?:\d{1,3}\.){3}\d{1,3}\b",10.0.94.27,IPv4 地址
datetime_iso_350,\b\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z\b,2023-08-15T12:00:00Z,ISO8601 UTC 时间戳
generic_code_351,"\bCODE351[:\-]?\d{4,8}\b",CODE351-1234,通用序列号样式
email_variation_352,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user352@example.co,一般邮箱格式（短域）
mobile_dash_353,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1353-1234,中国大陆手机号带短横分隔
token_base64_354,"[A-Za-z0-9_-]{20,300}",e5cded04f71d74eb4050cff4ba3d7c0a8dd4,看起来像长令牌/密钥的字母数字串
order_no_355,"\bORD[-_ ]?\d{6,12}\b",ORD-100355,订单号（ORD 前缀）
invoice_no_356,"\bINV[-_ ]?\d{6,12}\b",INV200356,发票号码（INV 前缀）
hex_32_357,\b[0-9a-fA-F]{32}\b,27cb6a0962fb3f0920680f12cbddb13e,32 字符十六进制散列（MD5-like）
uuid_compact_358,\b[0-9a-fA-F]{32}\b,5aa0f4df26c1afd63ec5c3462a945e67,无横线 UUID 表示
short_hex_359,\b[0-9a-fA-F]{8}\b,d974ba4a,短 8 字节十六进制标识
ipv4_360,"\b(?:\d{1,3}\.){3}\d{1,3}\b",10.0.105.60,IPv4 地址
datetime_iso_361,\b\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z\b,2023-08-26T12:00:00Z,ISO8601 UTC 时间戳
generic_code_362,"\bCODE362[:\-]?\d{4,8}\b",CODE362-1234,通用序列号样式
email_variation_363,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user363@example.co,一般邮箱格式（短域）
mobile_dash_364,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1364-1234,中国大陆手机号带短横分隔
token_base64_365,"[A-Za-z0-9_-]{20,300}",997e60cb49fd67ee8a9632395bfcb4f89be4,看起来像长令牌/密钥的字母数字串
order_no_366,"\bORD[-_ ]?\d{6,12}\b",ORD-100366,订单号（ORD 前缀）
invoice_no_367,"\bINV[-_ ]?\d{6,12}\b",INV200367,发票号码（INV 前缀）
hex_32_368,\b[0-9a-fA-F]{32}\b,dd2243569b6a3029205cffee23bba970,32 字符十六进制散列（MD5-like）
uuid_compact_369,\b[0-9a-fA-F]{32}\b,67fb2932519727667758e676e35f9de4,无横线 UUID 表示
short_hex_370,\b[0-9a-fA-F]{8}\b,e95b832c,短 8 字节十六进制标识
ipv4_371,"\b(?:\d{1,3}\.){3}\d{1,3}\b",10.0.116.93,IPv4 地址
datetime_iso_372,\b\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z\b,2023-08-09T12:00:00Z,ISO8601 UTC 时间戳
generic_code_373,"\bCODE373[:\-]?\d{4,8}\b",CODE373-1234,通用序列号样式
email_variation_374,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user374@example.co,一般邮箱格式（短域）
mobile_dash_375,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1375-1234,中国大陆手机号带短横分隔
token_base64_376,"[A-Za-z0-9_-]{20,300}",803013960d2a414011aac509e94ba2831429,看起来像长令牌/密钥的字母数字串
order_no_377,"\bORD[-_ ]?\d{6,12}\b",ORD-100377,订单号（ORD 前缀）
invoice_no_378,"\bINV[-_ ]?\d{6,12}\b",INV200378,发票号码（INV 前缀）
hex_32_379,\b[0-9a-fA-F]{32}\b,0d86b91071f3f8ee8202e181a24b3bd2,32 字符十六进制散列（MD5-like）
uuid_compact_380,\b[0-9a-fA-F]{32}\b,ec852de6502af8228084ada0ca2c5b50,无横线 UUID 表示
short_hex_381,\b[0-9a-fA-F]{8}\b,4a0091b9,短 8 字节十六进制标识
ipv4_382,"\b(?:\d{1,3}\.){3}\d{1,3}\b",10.0.127.126,IPv4 地址
datetime_iso_383,\b\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z\b,2023-08-20T12:00:00Z,ISO8601 UTC 时间戳
generic_code_384,"\bCODE384[:\-]?\d{4,8}\b",CODE384-1234,通用序列号样式
email_variation_385,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user385@example.co,一般邮箱格式（短域）
mobile_dash_386,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1386-1234,中国大陆手机号带短横分隔
token_base64_387,"[A-Za-z0-9_-]{20,300}",1099a8a279d5670a34cb09d740ade7d78efb,看起来像长令牌/密钥的字母数字串
order_no_388,"\bORD[-_ ]?\d{6,12}\b",ORD-100388,订单号（ORD 前缀）
invoice_no_389,"\bINV[-_ ]?\d{6,12}\b",INV200389,发票号码（INV 前缀）
hex_32_390,\b[0-9a-fA-F]{32}\b,5cfe3273c53243a3c9f1b7768fef21ca,32 字符十六进制散列（MD5-like）
uuid_compact_391,\b[0-9a-fA-F]{32}\b,bf58e25f46a3661e6fd3298df53f6418,无横线 UUID 表示
short_hex_392,\b[0-9a-fA-F]{8}\b,01dae32b,短 8 字节十六进制标识
ipv4_393,"\b(?:\d{1,3}\.){3}\d{1,3}\b",10.0.138.159,IPv4 地址
datetime_iso_394,\b\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z\b,2023-08-03T12:00:00Z,ISO8601 UTC 时间戳
generic_code_395,"\bCODE395[:\-]?\d{4,8}\b",CODE395-1234,通用序列号样式
email_variation_396,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user396@example.co,一般邮箱格式（短域）
mobile_dash_397,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1397-1234,中国大陆手机号带短横分隔
token_base64_398,"[A-Za-z0-9_-]{20,300}",319f9cc31e62b41588b262160d14ba37b7b1,看起来像长令牌/密钥的字母数字串
order_no_399,"\bORD[-_ ]?\d{6,12}\b",ORD-100399,订单号（ORD 前缀）
invoice_no_400,"\bINV[-_ ]?\d{6,12}\b",INV200400,发票号码（INV 前缀）
hex_32_401,\b[0-9a-fA-F]{32}\b,b3b8d86cbb23c1a68143d6022bd9ca1a,32 字符十六进制散列（MD5-like）
uuid_compact_402,\b[0-9a-fA-F]{32}\b,d0b9e4dd607e2ddab02d783be12a0ae2,无横线 UUID 表示
short_hex_403,\b[0-9a-fA-F]{8}\b,ab5a0ea0,短 8 字节十六进制标识
ipv4_404,"\b(?:\d{1,3}\.){3}\d{1,3}\b",10.0.149.192,IPv4 地址
datetime_iso_405,\b\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z\b,2023-08-14T12:00:00Z,ISO8601 UTC 时间戳
generic_code_406,"\bCODE406[:\-]?\d{4,8}\b",CODE406-1234,通用序列号样式
email_variation_407,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user407@example.co,一般邮箱格式（短域）
mobile_dash_408,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1408-1234,中国大陆手机号带短横分隔
token_base64_409,"[A-Za-z0-9_-]{20,300}",0da6798dbdd8caa3d0aa103e10f32095a96b,看起来像长令牌/密钥的字母数字串
order_no_410,"\bORD[-_ ]?\d{6,12}\b",ORD-100410,订单号（ORD 前缀）
invoice_no_411,"\bINV[-_ ]?\d{6,12}\b",INV200411,发票号码（INV 前缀）
hex_32_412,\b[0-9a-fA-F]{32}\b,9a140d96a0da78a87a3fe2eb3e30f580,32 字符十六进制散列（MD5-like）
uuid_compact_413,\b[0-9a-fA-F]{32}\b,92881a755589909515a5529e3dc20b59,无横线 UUID 表示
short_hex_414,\b[0-9a-fA-F]{8}\b,b9532481,短 8 字节十六进制标识
ipv4_415,"\b(?:\d{1,3}\.){3}\d{1,3}\b",10.0.160.225,IPv4 地址
datetime_iso_416,\b\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z\b,2023-08-25T12:00:00Z,ISO8601 UTC 时间戳
generic_code_417,"\bCODE417[:\-]?\d{4,8}\b",CODE417-1234,通用序列号样式
email_variation_418,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user418@example.co,一般邮箱格式（短域）
mobile_dash_419,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1419-1234,中国大陆手机号带短横分隔
token_base64_420,"[A-Za-z0-9_-]{20,300}",b2f09424733a74b656fb70eeea95a31ab6f0,看起来像长令牌/密钥的字母数字串
order_no_421,"\bORD[-_ ]?\d{6,12}\b",ORD-100421,订单号（ORD 前缀）
invoice_no_422,"\bINV[-_ ]?\d{6,12}\b",INV200422,发票号码（INV 前缀）
hex_32_423,\b[0-9a-fA-F]{32}\b,8d986eb7e43d9f37542d1771a166e61e,32 字符十六进制散列（MD5-like）
uuid_compact_424,\b[0-9a-fA-F]{32}\b,ffb5cd9595faf9b988ce100d3d8f7c8e,无横线 UUID 表示
short_hex_425,\b[0-9a-fA-F]{8}\b,500b6ddb,短 8 字节十六进制标识
ipv4_426,"\b(?:\d{1,3}\.){3}\d{1,3}\b",10.0.171.3,IPv4 地址
datetime_iso_427,\b\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z\b,2023-08-08T12:00:00Z,ISO8601 UTC 时间戳
generic_code_428,"\bCODE428[:\-]?\d{4,8}\b",CODE428-1234,通用序列号样式
email_variation_429,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user429@example.co,一般邮箱格式（短域）
mobile_dash_430,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1430-1234,中国大陆手机号带短横分隔
token_base64_431,"[A-Za-z0-9_-]{20,300}",cb093759bdff80743419e07efb4a9eec6636,看起来像长令牌/密钥的字母数字串
order_no_432,"\bORD[-_ ]?\d{6,12}\b",ORD-100432,订单号（ORD 前缀）
invoice_no_433,"\bINV[-_ ]?\d{6,12}\b",INV200433,发票号码（INV 前缀）
hex_32_434,\b[0-9a-fA-F]{32}\b,99e0550fa4175fb7a85837c319ea183d,32 字符十六进制散列（MD5-like）
uuid_compact_435,\b[0-9a-fA-F]{32}\b,8d598e552597cefc9cd5ba07a9b7f880,无横线 UUID 表示
short_hex_436,\b[0-9a-fA-F]{8}\b,e429106d,短 8 字节十六进制标识
ipv4_437,"\b(?:\d{1,3}\.){3}\d{1,3}\b",10.0.182.36,IPv4 地址
datetime_iso_438,\b\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z\b,2023-08-19T12:00:00Z,ISO8601 UTC 时间戳
generic_code_439,"\bCODE439[:\-]?\d{4,8}\b",CODE439-1234,通用序列号样式
email_variation_440,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user440@example.co,一般邮箱格式（短域）
mobile_dash_441,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1441-1234,中国大陆手机号带短横分隔
token_base64_442,"[A-Za-z0-9_-]{20,300}",d66932ceaf0b3b26bb360998e05375d4c203,看起来像长令牌/密钥的字母数字串
order_no_443,"\bORD[-_ ]?\d{6,12}\b",ORD-100443,订单号（ORD 前缀）
invoice_no_444,"\bINV[-_ ]?\d{6,12}\b",INV200444,发票号码（INV 前缀）
hex_32_445,\b[0-9a-fA-F]{32}\b,d837b5b5413119ee776bff67899f8300,32 字符十六进制散列（MD5-like）
uuid_compact_446,\b[0-9a-fA-F]{32}\b,a6f274ffc4e4f4b4b489b005491d36c1,无横线 UUID 表示
short_hex_447,\b[0-9a-fA-F]{8}\b,e72cfeff,短 8 字节十六进制标识
ipv4_448,"\b(?:\d{1,3}\.){3}\d{1,3}\b",10.0.193.69,IPv4 地址
datetime_iso_449,\b\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z\b,2023-08-02T12:00:00Z,ISO8601 UTC 时间戳
generic_code_450,"\bCODE450[:\-]?\d{4,8}\b",CODE450-1234,通用序列号样式
email_variation_451,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user451@example.co,一般邮箱格式（短域）
mobile_dash_452,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1452-1234,中国大陆手机号带短横分隔
token_base64_453,"[A-Za-z0-9_-]{20,300}",7c2b4ff713fef1f46989f76a6f50983d49ae,看起来像长令牌/密钥的字母数字串
order_no_454,"\bORD[-_ ]?\d{6,12}\b",ORD-100454,订单号（ORD 前缀）
